Assuah,Apodita
Broni,Kande
Sanda,Henry
Nti Boakye,Dina
Akologo,Ganiu
Bawah,Wakaso
Michael,Selina
Danaa,Safianu
Elikem,Issahaku
Tsidi,Klenam
Kuwornu,Franklina
Gyamfuah,Abila
Ama,Ofori
Osei Mintah,Ellen
Amaglo,Amma
Adu-Amoah,Amankwaa
Ohene,Fuseina
Tahidu,Ataa
Akosah,Habib
Lusah,Veronica
Otoo,Anane
Adutwum,Ben
Ntoni,Nurudeen
Amina,Merlin
Kaata,Sualei
Yemofio,Muosayiri
Njomu,Domekyille
Chaaba,Salman
Alhassna,Theophelia
Dapaah,Akalifa
Odoom,Lawal
Agyekum,Afi
Tetteh Ahenakwa,Twum
Gyato,Dotse
Togumbahiya,Memuna
Iddisah,Larbi
Nino,Bin
Baabolor,Alexander
Anthony,Awini
Empeh,Howard
Annan,Naantan
Tabi,Kwesi
Mintah,Jnr.
Amo,Asare
Laweh Tetteh,Safiya
Batsa,Sumbawua
Gyimah,Hudu
Atinansa,Vineyard
Torglo,Apiawin
Daudan,Jibril
Andorful,Ophelia
Adofo,Adams
Abdul Rahaman,Osei
Parker,Amoponsah
Kanpol,Pokuah
Zigah,Christiana
Billa,Fosuaa
Pelaaba,Elizebath
Ahiagba,Anaaba
Bugri,Casford
Benewaa,Jeffery
Lukman,Ndebila
Abdalla,Badu
Addo-Nana,Zotor
Sosoo,Naah
Nuhu,Donatus
Abalsi,Miracle
Akyam,Clinton
Adenaba,Delali
Baahyia,Poku
Kennetey,Justina
Adzakpasu,Wendy
Fuachie,Chiebini
Mahaman,Paradise
Abdallah,Safa
Kandara,Amos
Doku,Percy
Ayekoba,Victor
Sayibu,Nashiru
Atiah,Zinab
Abas,Voyo
Aryee,Azaratu
Matey,Kenneth
Nkwafi,Sualisu
Kobinaba,Emmanuela
Danku,Ayatu
Cleland,Zinatu
Anafo,Chalotte
Akyere,Yirizaa
Asare Ntow,Theresah
Abdul Razak,Debuo
Atinpeg,Ophilia
Awuzi,Bugli
Tiwaa,Awenbisa
Eali,Ankamah
Wajak,Abdullah
Abaikey,Barnabas
Darkwa,Sharif
Pomaah,Rashidatu
Adasa Nkrumah,Lebene
Serwonu,Awine
Badua,Bilaban
Akanfewen,Muktar
Piesie,Abla
Acheampong Kwarteng,Bamoni
Duah Sarpong,Koduah
Bonsu,Monday
Mireku,Mahama
Sagoe,Agyapiri
Bougo,Prosper
Kpornyo,Marriama
Osei-Tutu,Nuhu
Daabre,Zuwera
Dangimma,Ashetu
Basoama,Sadik
Kojo,Rahama
Sarkodie,Abbew
Benegamabo,Bangfu
Eshawu,Najat
Atuah,Zinidong
Pekyi,Binfulnya
Essuman,Adzo
Asibi,Dorothy
Nyelaayen,Haggar
Jeddi,Liwaal
Karikari,Cathrine
Akompi,Jasmine
Amanfo,Eng-Ewala
Ahmed,Karim
Afukey,Kwarteng
Toseafa,Fidelia
Akuriga,Issabella
Koutouadon,Adjeley
Horgah,Fatimata
Mustapha Chango,Amaata
Forson,Gbagbemle
Sanika,Raphael
Natogmah,Hans
Kwakyewaa,Vincential
Hidiri,Munata
Bima,Humaiza
Tinbaya,Nabari
Francis,Derick
Quayson,Akologo
Ayine,Zenabu
Adzo,Kontuo
Saibu,Nyarkoa
Aggrey,Juana
Faruk,Nii
Takyi-Mensah,Tawia
Muniratu,Sikpete
Kwaku,Mubarik
Adamu,Kwadzovi
Zumisaw,Pamela
Amankwaa,Mamata
Poku,Kumarsi
Lamptey,Nampar
Hawa,Ababio
Bamfo,Angelina
Arko,Irene
Boansi,Livingstone
Dakurah,Frimpong
Basile,Sabina
Gbadegbe,Adjoa
Hammond,Shafiwu
Kodei,Constance
Gameti,Asiha
Malin,Huseifatu
Naa,Rafiatu
Tano,Tetteh
Adoko,Shalla
Ramani,Sherifatu
Kwetey,Bamunu
Nii,Nweba
Asang,Agatha
Jayem,
Nargeh,Adiza
Tettehtsu,Majotiba
Amoata,Grumah
Azumah,Vanessa
Sugri,Safiatu
Hilla,Manuel
Smith,Brigth
Darkoh,Clifford
Braso,Mudasir
Bandei,Agbafa
Fosuhemaa,Lawrencia
Class-Peter,Nelly
Dery,Sadia
Zalia,Azot
Gbaga,Ummu
Obuobi,Aliu
Tangua,Zuleha
Zigre,Atule
Kogyakpa,Ankawiise
Offei,Adama
Abudu,Soale
Abass,Isdeen
Akurugu,Rakia
Daniel Dickson,Sheila
Pokua,Hammond
Nashiru,Asamoah
Akane,Benson
Gmafuda,Kyere
Dabla,Naasei
Sokpor,Jonah
Mankua,Hardi
Damayire,Agyemang
Masawudu,Hajua
Astu,Kobena
Nartey,Kaakyire
Mohammed Sambo,Lawuratu
Afelibiik,Matthew
Godzi,Notyours
Saani,Bichoriba
Awudi,Alice
Ntim,Lartey
Ofosu Hemaa,Dinah
Apala,Kotonja
Ayebioh,Theresa
Amoasi,Pudool
Takyiwaa,Ibtisam
Jamil,Fatau
Yahayab,Enoch
Seshie,Lawer
Siedu,Brefoh
Anderson,Kpedzi
Yinzoya,Harriet
Aprakuwaa,Israel
Nti,William
Komla,Magusi
Owusuaa,Tunde
Akor,Latif
Philip,Bill
Amedekanya,Agarisi
Bilihaki,Misca
Kodia,Atsu
Egyir,Dawuda
Nole,Stephany
Yidana,Hawlat
Gyebi,Agbee
Tengzuyele,Ablavi
Dwomoh,Joe
Ababile,Noah
Adu-Asare,Issifu
Fiadzigbe,Sarpong
Naleru,Boateng
Yusif,Sabastian
Christian,Basiru
Muah,Miftawu
Asakiayamga,Sarah
Osmani,Rafia
Peyton,Tano
Gingasi,Dont
Laar,Krubil
Akanjusi,Bawah
Ganyo,Sule
Amamata,Barika
Lucan,Amishao
Awortwe,Listowell
Moses Baffour,Oscar
Biamah,Anatu
Gariba,Hafsah
Akwaba,Adriana
Goluna,Antwi
Doudu,Yohane
Jobue,Awinbila
Akuoko,Festus
Owusu Mensah,Veracity
Panfo,Macjordan
Mary,Ivy
Asuako,Mariamatu
Omane,Tony
Awlime,Belitoi
Brempong,Aseitu
Narhkorli,Zephyrinus
Sasu,Eva
Baffour Awuah,Ike
Dzifa,Eugene
Fogan,Kate
Animah,Gona
Osew,Charllote
Somah,Kubura
Abuga,Lord
Maison,Fuachie
Namuyere,Ismaila
Sarkwah,Goodboy
Kakari,Kojoma
Ampeih,Emmanuella
Osabutey,Evaluna
Afirifah,Elkana
Ayulum,Andala
Yaa,Fidelis
Takyi Mensah,Dziwornu
Mandibi,Titus
Quatariga,Dede
Duvor Senyo,Halima
Obiri Asare,Fusaina
Coffie,Dorbert
Chris,Anorld
Agyare,Locobel
Agyeman,Amidatu
Amaquiel,Efua
Wassiu,Glah
Amoakoh,Kakra
Napari,Ronald
Shaida,Abugure
Frimpong Anane,Awinsuma
Busah,Ernerst
Guaa,Boatemaa
Bafinne Jb,Balagebakwo
Nuru,Meshach
Adom,Jefferey
Kavi,Celestine
Sankaa,Portia
Bofa,Amoabea
Amedoko,Essilfi
Amponsaa,Jafar
Nagel,Maclean
Kuuyel,Marconi
Umborkan,Zelia
Kwarteng,Rahaman
Anim,Jibriel
Okoma,Noble
Yaw Andiere,Moro
Bissi,Abra
Akugri,Fuseni
Kobiri,Jordan
Boampong,Sherita
Kyereko,Rosemong
Mawuli,Timothy
Adomah,Hajara
Gyasi,Mawulor
Jacinto,Takyiwaa
Tijani,Manu
Afrifa,Asia
Yankey,Opoku
Abatso,Famous
Framah,Biatrice
Sarfo,Jamal
Amofa,Saraphine
Layiya,Gyankomah
Champong,Agilim
Dubampeh,Apogbire
Nyarkudo,Lumor
Boahemah,Mayaligi
Ntiamoah,Awal
Bellukuu,Ami
Fosuaa,El-Amahd
Kporo,Esinam
Dawuo,Atiama
Zoyah,Mabel
Ignacious,Ishmael
Bashiru,Kankam
Atiim,Tiaganiru
Paul,Adumbele
Bentil,Reuben
Achinani,Edith
Mbayeya,Zakaria
Gamor,Mahamoud
Anongre,Sir
Akanane,Fiifi
Joe Sam,Rocky
Nlenbi,Paakwasi
Ativi,Usman
Sabbah,Saviour
Ansu,Elen
Jetey,Becky
Akanvarichaab,Nathan
Akanchinkpai,Shekinatu
Ackom,Asiya
Siaw,Ningnabeim
Dawura,Hadi
Habibu,Mukasha
Bekaar,Santos
Abdul-Mumin,Reindolf
Baazeng,Farid
Draman,Dungaadi
Saah,Nnahadumah
Silimbu,Amoanin
Asigbey,Afrakoma
Nuobesier,Kogh
Nyamekye,Lumorsi
Asana,Akhassan
Gmabih,Leo
Faabaar,Hassan
Tsutsu,Berko
Nanjan,Junior
Ntaabe,Bertha
Otie,Aduabono
Atwena,Nasiru
Drah,Dankwah
Kuenyegah,Morris
Basse,Senkyire
Musarh,Candida
Gediya,Farida
Kwasiwa,Opare
Bunkuree,Griffix
Osafo,Jamilatu
Atatsi,Kennedy
Bimgmasein,Fosu
Nasar-Gbal,Twumasi
Dataab,Foster
Sakyibea,Kaldo
Djangmah,Similac
Gagla,Anan
Sumbe,Kassim
Nyarkoh,Rahman
Kankam,Humprey
Nagaayen,Ismail
Anane-Antwi,Azuure
Okuma,Sadic
Dela,Perpertual
Ashetu,Kobby
Coded,Pepertual
Sueley,Bemah
Agbasi,Amonu
Chame,Owoahene
Nkromah,Futie
Attrams,Bernice
Adza Torgbor,Addo
Juldeh,Freda
Ageyoomah,Napuro
Abakuri,Aning
Pari,Bushiratu
Benyin,Shella
Toglayeng,Urbanus
Adayiri,Hagan
Kraku,Ayona
Enyan,Aboagye
Abdul Jabar,Atik
Amaniampong,Aishetu
Akasigiba,Tina
Attakora,Vitus
Banka,Konadu
Haryey,Laila
Djanie,Manarteh
Sofo,Harold
Piirong,Agana
Akpar,Fataaw
Mohammed Haris,Fataw
Bigah,Iddi
Hanyrah,Yaya
